Event	ID	Name			Wwise Object Path	Notes
	192623117	Pause_Object			\Default Work Unit\Pause_Object	
	314845868	Play_Moff_Guideon_Lightsaber_Turn_Off			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Lightsaber_Turn_Off	
	670133469	Play_Moff_Guideon_Intimidation_Phase_2			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Intimidation_Phase_2	
	670133470	Play_Moff_Guideon_Intimidation_Phase_1			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Intimidation_Phase_1	
	1526398419	Play_Moff_Guideon_Shot			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Shot	
	1564184646	Play_Moff_Guideon_Lightsaber_Turn_On			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Lightsaber_Turn_On	
	1818257593	Play_Moff_Guideon_Lightsaber_Whoosh			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Lightsaber_Whoosh	
	1931338186	Resume_Object			\Default Work Unit\Resume_Object	
	2058592529	Play_Moff_Guideon_Hit_Phase_2			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Hit_Phase_2	
	2058592530	Play_Moff_Guideon_Hit_Phase_1			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Hit_Phase_1	
	2615772781	Play_Moff_Guideon_Spawn_Enemies			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Spawn_Enemies	
	3075869675	Play_Moff_Guideon_Dash			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Dash	
	3275430871	Play_Moff_Guideon_Lightsaber_Attack			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Lightsaber_Attack	
	3318621861	Stop_Object			\Default Work Unit\Stop_Object	
	3675815387	Play_Moff_Guideon_Death			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Death	
	4120291933	Play_Moff_Guideon_Lightsaber_Throw			\Default Work Unit\Moff Guideon\Play_Moff_Guideon_Lightsaber_Throw	

Game Parameter	ID	Name			Wwise Object Path	Notes
	467158820	SourceVolume			\Default Work Unit\SourceVolume	
	2704707011	BusVolume			\Default Work Unit\BusVolume	

Audio Bus	ID	Name			Wwise Object Path	Notes
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	132413711	moff guideon intimidate 2nd phase 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon intimidate 2nd phase 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon intimidate phase 2\moff guideon intimidate 2nd phase 2		155076
	134030243	moff gideon hit 2nd phase 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff gideon hit 2nd phase 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon hit phase 2\moff gideon hit 2nd phase 1		69276
	200020784	moff guideon intimidate 2nd phase 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon intimidate 2nd phase 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon intimidate phase 2\moff guideon intimidate 2nd phase 1		181508
	270470728	moff guideon lightsaber whoosh 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon lightsaber whoosh 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff guideon lightsaber whoosh\moff guideon lightsaber whoosh 1		136204
	274347457	moff guideon blaster shoot	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon blaster shoot_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff guideon blaster shoot		253680
	336560564	moff guideon intimidate 1rst phase 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon intimidate 1rst phase 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon intimidate phase 1\moff guideon intimidate 1rst phase 2		208296
	354392164	moff guideon lightsaber turn on	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon lightsaber turn on_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff guideon lightsaber turn on		250176
	388356698	moff gideon dash	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff gideon dash_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff gideon dash		74844
	466307658	moff gideon armor hit 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff gideon armor hit 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon hit phase 1\moff gideon armor hit 1		72140
	509161827	moff gideon hit 1rst phase 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff gideon hit 1rst phase 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon hit phase 1\moff gideon hit 1rst phase 2		78712
	578940370	moff gideon hit 2nd phase 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff gideon hit 2nd phase 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon hit phase 2\moff gideon hit 2nd phase 2		56704
	589526714	moff gideon armor hit 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff gideon armor hit 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon hit phase 1\moff gideon armor hit 2		67952
	608559747	moff guideon lightsaber attack 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon lightsaber attack 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff guideon lightsaber attack\moff guideon lightsaber attack 1		141728
	626643442	moff gideon hit 1rst phase 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff gideon hit 1rst phase 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon hit phase 1\moff gideon hit 1rst phase 1		90396
	636417655	moff gideon death	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff gideon death_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff gideon death		501228
	703060658	moff guideon lightsaber attack 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon lightsaber attack 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff guideon lightsaber attack\moff guideon lightsaber attack 2		173352
	720678292	moff guideon lightsaber whoosh 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon lightsaber whoosh 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff guideon lightsaber whoosh\moff guideon lightsaber whoosh 2		127188
	747483108	moff guideon lightsaber throw	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon lightsaber throw_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff guideon lightsaber throw		152400
	827580043	moff guideon intimidate 1rst phase 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon intimidate 1rst phase 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\Moff guideon intimidate phase 1\moff guideon intimidate 1rst phase 1		102788
	972146429	moff gideon snap fingers	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff gideon snap fingers_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff gideon snap fingers		98160
	1050035490	moff guideon lightsaber turn off	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\moff guideon lightsaber turn off_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moff Guideon\moff guideon lightsaber turn off		129204

