Event	ID	Name			Wwise Object Path	Notes
	192623117	Pause_Object			\Default Work Unit\Pause_Object	
	614214837	Play_Stormtrooper_Death			\Default Work Unit\Stormtrooper\Play_Stormtrooper_Death	
	1095147418	Play_Footsteps_Stormtrooper			\Default Work Unit\Stormtrooper\Play_Footsteps_Stormtrooper	
	1601696560	Play_Blaster_Stormtrooper			\Default Work Unit\Stormtrooper\Play_Blaster_Stormtrooper	
	1931338186	Resume_Object			\Default Work Unit\Resume_Object	
	3318621861	Stop_Object			\Default Work Unit\Stop_Object	
	4171809812	Play_Stormtrooper_Hit			\Default Work Unit\Stormtrooper\Play_Stormtrooper_Hit	
	4180674362	Play_Enemy_Detection			\Default Work Unit\Stormtrooper\Play_Enemy_Detection	

Game Parameter	ID	Name			Wwise Object Path	Notes
	467158820	SourceVolume			\Default Work Unit\SourceVolume	
	1547598200	SourcePitch			\Default Work Unit\SourcePitch	
	2704707011	BusVolume			\Default Work Unit\BusVolume	

Audio Bus	ID	Name			Wwise Object Path	Notes
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	152306303	Stormtrooper hit 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Stormtrooper hit 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Stormtrooper_Hit\Stormtrooper hit 2		48040
	220722716	Stormtrooper hit 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Stormtrooper hit 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Stormtrooper_Hit\Stormtrooper hit 1		53688
	222927635	Footstep sand 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Footstep sand 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Footsteps_Stormtrooper\Footsteps sand\Footstep sand 1		42028
	296902962	Stormtrooper death 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Stormtrooper death 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Stormtrooper_Death\Stormtrooper death 2		83904
	326576311	Footstep sand 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Footstep sand 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Footsteps_Stormtrooper\Footsteps sand\Footstep sand 2		41620
	353870287	Stormtrooper hit 3	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Stormtrooper hit 3_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Stormtrooper_Hit\Stormtrooper hit 3		35888
	356289844	Stormtrooper enemy detection 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Stormtrooper enemy detection 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Enemy_Detection_Stormtrooper\Stormtrooper enemy detection 2		126232
	390628259	Stormtrooper enemy detection 3	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Stormtrooper enemy detection 3_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Enemy_Detection_Stormtrooper\Stormtrooper enemy detection 3		95340
	401471880	Stormtrooper armor hit 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Stormtrooper armor hit 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Stormtrooper_Hit\Stormtrooper armor hit 1		51064
	520687832	Stormtrooper death 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Stormtrooper death 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stormtrooper\Stormtrooper_Death\Stormtrooper death 1		79556
