Event	ID	Name			Wwise Object Path	Notes
	126468322	Play_Wampa_Footsteps			\Default Work Unit\Wampa Skel\Play_Wampa_Footsteps	
	192623117	Pause_Object			\Default Work Unit\Pause_Object	
	210142930	Play_Skel_Jump_In_Progress			\Default Work Unit\Wampa Skel\Play_Skel_Jump_In_Progress	
	393948735	Play_Rancor_Footsteps			\Default Work Unit\Rancor\Play_Rancor_Footsteps	
	528623469	Play_Wampa_Projectile_Impact			\Default Work Unit\Wampa Skel\Play_Wampa_Projectile_Impact	
	605343841	Play_Wampa_Projectile_Throw_1			\Default Work Unit\Wampa Skel\Play_Wampa_Projectile_Throw_1	
	605343842	Play_Wampa_Projectile_Throw_2			\Default Work Unit\Wampa Skel\Play_Wampa_Projectile_Throw_2	
	973421172	Play_Wampa_Hit			\Default Work Unit\Wampa Skel\Play_Wampa_Hit	
	1095659072	Play_Wampa_Roar_Presentation			\Default Work Unit\Wampa Skel\Play_Wampa_Roar_Presentation	
	1149449029	Play_Skel_Hit			\Default Work Unit\Wampa Skel\Play_Skel_Hit	
	1203640683	Play_Skel_Jump_Impact			\Default Work Unit\Wampa Skel\Play_Skel_Jump_Impact	
	1709225748	Play_Skel_Rush_In_Progress			\Default Work Unit\Wampa Skel\Play_Skel_Rush_In_Progress	
	1931338186	Resume_Object			\Default Work Unit\Resume_Object	
	2094630229	Play_Wampa_When_Skel_Dies			\Default Work Unit\Wampa Skel\Play_Wampa_When_Skel_Dies	
	2523473927	Play_Skel_When_Wampa_Dies			\Default Work Unit\Wampa Skel\Play_Skel_When_Wampa_Dies	
	2579051331	Play_Wampa_Rush			\Default Work Unit\Wampa Skel\Play_Wampa_Rush	
	2754523954	Play_Skel_Rush_Recovery			\Default Work Unit\Wampa Skel\Play_Skel_Rush_Recovery	
	3135328612	Play_Skel_Death			\Default Work Unit\Wampa Skel\Play_Skel_Death	
	3318621861	Stop_Object			\Default Work Unit\Stop_Object	
	3479049538	Play_Wampa_Ice_Pick			\Default Work Unit\Wampa Skel\Play_Wampa_Ice_Pick	
	3650769102	Play_Skel_Rush_Preparation			\Default Work Unit\Wampa Skel\Play_Skel_Rush_Preparation	
	3733308172	Play_Skel_Jump_Preparation			\Default Work Unit\Wampa Skel\Play_Skel_Jump_Preparation	
	3996625941	Play_Wampa_Death			\Default Work Unit\Wampa Skel\Play_Wampa_Death	
	4012397375	Play_Skel_Footsteps			\Default Work Unit\Wampa Skel\Play_Skel_Footsteps	

Game Parameter	ID	Name			Wwise Object Path	Notes
	467158820	SourceVolume			\Default Work Unit\SourceVolume	
	2704707011	BusVolume			\Default Work Unit\BusVolume	

Audio Bus	ID	Name			Wwise Object Path	Notes
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6301850	Skel footstep 3	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Skel footstep 3_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wampa skell\Skel\Footsteps skel\Skel footstep 3		50652
	11466863	wampa hit 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\wampa hit 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wampa skell\Wampa\Wampa hit\wampa hit 1		124248
	27275924	wampa rush footstep 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\wampa rush footstep 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wampa skell\Wampa\Footsteps wampa rush\wampa rush footstep 1		53288
	66287347	wampa body hit 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\wampa body hit 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wampa skell\Wampa\Wampa hit\wampa body hit 1		71600
	70488545	Skel voice hit 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Skel voice hit 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wampa skell\Skel\Skel hit\Skel voice hit 1		94260
	74697248	Footstep wampa 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Footstep wampa 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wampa skell\Wampa\Footsteps wampa\Footstep wampa 2		105152
	92596664	Rancor chain step 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Rancor chain step 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Rancor\Footsteps Rancor\Rancor chain step 2		103024
	92726265	skel jump impact	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\skel jump impact_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wampa skell\Skel\skel jump impact		104544
	208519487	Rancor chain step 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Rancor chain step 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Rancor\Footsteps Rancor\Rancor chain step 1		99612
	233993644	Footstep wampa 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Footstep wampa 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wampa skell\Wampa\Footsteps wampa\Footstep wampa 1		106028
	250727717	wampa hit 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\wampa hit 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wampa skell\Wampa\Wampa hit\wampa hit 2		115784
